col,ISR2,OSR2,coefs,t_stats
OverallQual,0.6623060038844955,0.709045258410121,0.32088711279795623,42.79140717001837
Neighborhood,0.7359615130036337,0.7608593686245607,0.14597807663153356,16.123664914981365
GrLivArea,0.7995336644269329,0.8294808156596601,0.12297351832020209,17.180105239212118
BsmtExposure,0.8170602632196147,0.8352486448948557,0.05507705235085175,9.437459647774116
GarageCars,0.8318864450728407,0.8441735726711053,0.06368883478479084,9.05445902588186
CentralAir,0.842771040027765,0.8634095925370435,0.0435763280990154,7.989320476563558
MSZoning,0.849438008852766,0.8741357294844667,0.03821516155266008,6.366534337668246
BsmtFullBath,0.8548973147110466,0.8827110745278169,0.031074767267039904,5.906564738918641
YearRemodAdd,0.8601593780149411,0.8835291531124532,0.03586319826319001,5.89021613662725
FireplaceQu,0.8644816148448344,0.8874500453852364,0.03173832576278653,5.4330395770827735
Functional,0.8683612188937267,0.88744692461928,0.025029540526219706,5.155268680139001
Condition1,0.8710760095124417,0.8884341380155514,0.02116043082465968,4.377294206191444
ScreenPorch,0.8731777461341437,0.8898331214800985,0.01829605908432575,3.8970660202932685
SaleCondition,0.8754446080655818,0.8920786326493766,0.02053706855930937,4.079200534817901
LotArea,0.8773164082007122,0.8919913505887895,0.018189675634380842,3.632320253562091
HouseStyle,0.8783942404556289,0.8932862617020021,-0.014849752159833175,-2.857447479435216
MSSubClass,0.8795532772886677,0.8962842873225491,0.019115707483226663,2.9513088626983346
HeatingQC,0.8806276213369136,0.8972459624331749,0.016122195032109193,2.857373781571973
WoodDeckSF,0.8816956646737928,0.8979116409538961,0.013643080869799373,2.8431307162264012
BedroomAbvGr,0.8831849491073147,0.8937302753993897,0.019998281516460277,3.2608386033806136
GarageQual,0.8843034037678514,0.8947656530717649,0.01646143895944577,2.9283781177916324
GarageYrBlt,0.8855427598858021,0.8935359772045198,-0.023352678875597596,-3.0846107882105605
Exterior1st,0.8864308447890992,0.8935128671416858,0.014729873525995002,2.653743543634454
Exterior2nd,0.8874440156250845,0.8907953824416374,-0.031356379520755776,-2.856568618155797
LandContour,0.8885536877453596,0.8900610472537904,0.013441308747206733,2.950970978486649
2ndFlrSF,0.8901270992299952,0.8896806258912331,-0.025639240928907445,-3.5729199922677557
BsmtQual,0.8904081706156551,0.8901319242562428,0.011469029867501458,1.519894322501845
EnclosedPorch,0.890892971238126,0.8884476560681799,0.009411374110588707,1.97605240170865
KitchenQual,0.8915513183901785,0.8898006920121551,0.015054231202370639,2.295358181187411
OverallCond,0.891735454454014,0.8901188424783653,0.006475699437255643,1.2235940698640868
3SsnPorch,0.8919483550230407,0.8905908366790576,0.005716995096313297,1.2854072603761026
