col,ISR2,OSR2,coefs,t_stats
OverallQual,0.6623060038844955,0.7090452584101208,0.988691181211905,1587.3543349796478
Neighborhood,0.7359615130036337,0.7608593686245604,0.486342791964533,18.37513301613918
GrLivArea,0.7995336644269327,0.8294808156596523,0.0002349915582191553,19.81277216722395
BsmtExposure,0.8170602632196144,0.8352486448948497,0.3614750464542002,16.265532637111015
GarageCars,0.8318864450728407,0.8441735726710072,0.0867341854543261,9.683938088508542
CentralAir,0.8427710400277648,0.8634095925369595,0.3142530190820415,10.33819121283704
MSZoning,0.8494380088527658,0.8741357294843657,0.23228163128266655,7.007220341498841
BsmtFullBath,0.8548973147110466,0.8827110745277035,0.059607401665965155,6.115347942443532
YearRemodAdd,0.8601593780149411,0.8835291531124648,0.0017427015351503799,6.905602564312363
FireplaceQu,0.8644816148448344,0.887450045385241,0.14211880532934554,5.763069181603862
Functional,0.8683612188937267,0.8874469246192793,0.3906092344955211,7.6828735799182635
Condition1,0.8710760095124417,0.8884341380155525,0.25049883907262444,4.96634281888948
ScreenPorch,0.8731777461341437,0.8898331214801001,0.0003168455889072273,3.8989131172852907
SaleCondition,0.8754446080655818,0.8920786326493804,0.14378176008752008,4.161121291928632
LotArea,0.8773164082007122,0.8919913505887956,1.8426046733965862e-06,3.6339763059394192
HouseStyle,0.8783942404556289,0.8932862617019698,-0.11796127630402783,-2.951436729873482
MSSubClass,0.8795532772886677,0.8962842873225532,0.08327560388725257,3.011721694538547
HeatingQC,0.8806276213369134,0.8972459624332128,0.08374869113125549,2.861803864197571
WoodDeckSF,0.881695664673793,0.897911640953876,0.00011172808840845608,2.8515385597549328
BedroomAbvGr,0.8831849491073147,0.893730275399437,0.024440656213149937,3.2643189774883163
GarageQual,0.8843034037678512,0.8947656530718279,0.11100426672462928,3.045051396364563
GarageYrBlt,0.8855427598858021,0.8935359772046255,-0.0008827435169516729,-3.0858828908046236
Exterior1st,0.8864308447890992,0.8935128671416622,0.08692720430940432,2.665722418606091
Exterior2nd,0.8874440156250845,0.8907953824415764,-0.18937520947498881,-2.8576453429404105
LandContour,0.8885536877453598,0.8900610472539644,0.21384046534151174,3.3976671886881036
2ndFlrSF,0.8901270992299954,0.8896806258912037,-5.906487353330228e-05,-3.5819322962818902
BsmtQual,0.8904081706156551,0.8901319242562221,0.043267078180291435,1.5254110147114717
EnclosedPorch,0.890892971238126,0.8884476560681517,0.00015014017909345794,1.9979990965061805
KitchenQual,0.8915513183901785,0.8898006920120938,0.05661887746819928,2.297112870937642
OverallCond,0.891735454454014,0.8901188424784169,0.04091907499561263,1.2284723614386148
3SsnPorch,0.8919483550230407,0.8905908366791532,0.00018388473665655768,1.286542074440337
