,0
Model,Lasso
User,dantole
Date,2020-05-31 11-32
OverallQual,0.073437115556617
1stFlrSF,0.071650008077625
2ndFlrSF,0.070206333886707
BsmtFinSF1,0.057791866771526
OverallCond,0.045926536533945
GrLivArea,0.038409347467323
SaleCondition,0.033850455486995
YearBuilt,0.033078857286807
Neighborhood,0.030695309512493
MSZoning,0.029832533525036
Functional,0.022322156881278
BsmtUnfSF,0.022135122904322
Exterior1st,0.020640073172505
BsmtFinSF2,0.019718101647958
Condition1,0.017903124302498
GarageCars,0.017419117216446
LotArea,0.016756744142121
Foundation,0.015950399154631
Exterior2nd,0.015324209411145
BsmtExposure,0.014630512597755
TotRmsAbvGrd,0.013618693491179
HeatingQC,0.012389833687859
GarageArea,0.012274942197297
Fireplaces,0.012110882345228
ScreenPorch,0.0118819163599
KitchenQual,0.011260003446719
EnclosedPorch,0.010135255943278
GarageQual,0.009852947123192
CentralAir,0.009503492218917
LotConfig,0.009437173849121
WoodDeckSF,0.00907098614099
MSSubClass,0.008945824678597
BsmtFullBath,0.008681428077236
ExterQual,0.008570206187059
YearRemodAdd,0.008332535314883
LowQualFinSF,0.008011977504098
BsmtQual,0.007742764245018
Utilities,0.007321668897097
TotalBsmtSF,0.00696394344038
ExterCond,0.006959012540512
BldgType,0.006876395500171
FireplaceQu,0.006675644254786
BsmtCond,0.006110540339335
OpenPorchSF,0.005970868504609
Condition2,0.005901612875703
3SsnPorch,0.005886734821437
KitchenAbvGr,0.005664070381532
HalfBath,0.005524804670292
BsmtFinType2,0.00551203702159
HouseStyle,0.00539553045342
Heating,0.005342444834735
SaleType,0.005225874034821
Electrical,0.004964449084926
LotFrontage,0.004243637489629
MasVnrType,0.00415226188808
YrSold,0.003707855621808
GarageType,0.003586859797644
BsmtFinType1,0.003269620833586
LandSlope,0.00314607805553
MoSold,0.002539063161616
FullBath,0.002494039231732
LandContour,0.002056350963649
RoofMatl,0.001949303828261
Street,0.001583245168388
GarageYrBlt,0.001581861942654
RoofStyle,0.001509064087178
GarageCond,0.001415366097142
BedroomAbvGr,0.001195892350526
GarageFinish,0.000930433242278
PoolArea,0.000908246386253
PavedDrive,0.000506491961237
LotShape,0.000240027896441
BsmtHalfBath,0.000239669948617
Fence,0.000217438787528
MasVnrArea,0.000142778167643
MiscVal,0.000113110569778
