,0
Model,Lasso
Bias,-3253.1520598899206
MaxDev,97487.59870899079
MeanAbsDev,15870.40473930522
RMSE,22291.52694609181
R2,0.9053215383702633
Adj_R2,0.871853803096496
Skew,-1.1144013495160898
Kurt,2.6245656915653512
AIC,6000.985765760262
F,2.7573343192540296
User,simondyates
Date,2020-05-28 18-33
